from,to,radius_sc3,radius_sc2,radius_sc1,length
1,2,60,78,150,6.25
2,3,85,115,150,7.333333333
3,4,120,152,150,16.16666667
4,33,159,189,150,7.542472333
33,32,281,226,150,26.16666667
16,32,105,263,150,6.051285447
32,29,300,300,150,6.823672032
15,29,60,152,150,11.55452052
13,31,60,115,150,7.551673839
31,29,120,152,150,12.62300589
14,31,104,115,150,5.553402361
17,29,147,115,150,9.25150138
18,17,85,78,150,4.630814663
27,17,85,78,150,44.58333333
34,33,147,189,150,7.25765879
21,34,104,152,150,6.071907077
20,34,104,152,150,4.444878451
19,20,60,115,150,4.646533953
22,33,180,189,150,7.367816652
23,22,147,152,150,16.00021701
24,23,85,115,150,5.462625539
25,23,85,115,150,7.919736247
26,25,60,78,150,7.333333333
8,28,104,152,150,10.77451984
30,28,85,152,150,10.13793755
30,8,85,115,150,3.453058226
9,30,104,115,150,5.942432162
10,30,60,115,150,8.41831667
11,28,134,300,150,9.626713412
12,11,85,263,150,6.833841445
6,28,147,115,150,5.986675019
7,6,85,78,150,3.889087297
5,6,85,78,150,43.66666667
35,10,60,78,150,15.09989882
36,9,60,78,150,23.5
37,9,85,78,150,7.902619116
38,37,60,41,150,7.845734864
39,37,60,41,150,22.14613711
40,13,60,78,150,13.52800593
41,14,60,78,150,22.75
42,14,85,78,150,7.077448536
80,42,60,41,150,7.845734864
79,42,60,41,150,22.14613711
43,8,60,115,150,14.42990721
81,15,60,115,150,14.5861902
44,7,60,41,150,14.26947986
45,6,60,78,150,14.76105988
46,7,60,41,150,14.26947986
47,6,60,78,150,11.32996273
48,17,60,78,150,14.21096017
49,18,60,41,150,12.51277125
50,18,60,41,150,13.92290279
51,17,60,78,150,11.49426185
53,16,60,226,150,15.83355263
54,11,60,263,150,10.4966926
55,16,60,226,150,9.501461876
56,11,60,263,150,8.021672034
57,16,60,226,150,7.371585839
58,19,60,78,150,3.972999147
59,20,60,115,150,6.168918508
60,20,60,115,150,2.833333333
52,12,60,226,150,10.18338789
61,21,60,115,150,5.802896786
62,21,60,115,150,4.75
63,21,60,115,150,5.802896786
64,24,60,78,150,4.622559416
65,24,60,78,150,3.833333333
84,3,60,115,150,6.028865749
85,23,60,115,150,5.89255651
66,4,60,152,150,9.891775484
67,22,60,152,150,10.25541862
68,1,60,41,150,17.41327718
69,5,60,115,150,18.03430373
70,26,60,41,150,15.16620878
71,27,60,115,150,18.18290559
82,4,60,152,150,6.342099197
83,22,60,152,150,7.124390812
72,4,60,152,150,7.288689869
73,22,60,152,150,8.17728901
74,2,60,78,150,51.63560894
86,25,60,78,150,51.66370959
75,5,60,41,150,4.859126579
77,5,60,41,150,4.859126579
76,27,60,41,150,5.134307267
78,27,60,41,150,5.830951895
87,11,60,263,150,16.75518162
88,12,60,226,150,4.949747468
